SECTION ID,HIGHWAY,SECTION,SECTION LENGTH,SECTION DESCRIPTION,Date,DESCRIPTION,GROUP,TYPE,COUNTY,PTRUCKS,ADT,AADT,DIRECTION,85PCT,PRIORITY_POINTS
349020,349,20,8,VILLAGE RD (HERRING COVE) TO DUNCANS COVE RD,10/31/2018,2.5 KM SOUTH OF RTE 253 (HERRING COVE) (SB),B,VC,HFX,4,1257,1260,S,,
349025,349,25,7.47,DUNCANS COVE RD TO BULL POINT RD (SAMBRO),10/31/2018,0.5 KM SOUTH OF SANDY COVE RD,B,TC,HFX,,1277,1280,,,
349020,349,20,8,VILLAGE RD (HERRING COVE) TO DUNCANS COVE RD,10/31/2018,2.5 KM SOUTH OF RTE 253 (HERRING COVE) (NB),B,VC,HFX,3,1244,1240,N,,
306025,306,25,8.59,FRASER RD (HARRIETSFIELD) TO RTE 349 (SAMBRO),10/31/2018,1 KM SOUTH OF FRASER RD,B,TC,HFX,,3465,3475,,,
349010,349,10,10.74,THE ARMDALE ROTARY TO VILLAGE RD (HERRING COVE),10/31/2018,HALIFAX CITY LINE,A,TC,HFX,,6296,6310,,,
104310,104,310,1.21,EXIT 36 (BAYFIELD RD) (HEATHERTON) TO EXIT 36A (AFTON),10/30/2018,0.834 KM EAST OF EXIT 36 (EB) (LOOPS),D,TC,ANT,,4332,4540,E,,
7043,7,43,11.12,WEST JEDDORE RD TO CLAM HARBOUR RD (LAKE CHARLOTTE),10/30/2018,0.5 KM EAST OF MYERS POINT RD,B,TC,HFX,,3340,3340,,,
107050,107,50,4.54,EXIT 20 (PORTERS LAKE) TO EXIT 21 (EAST CHEZZETCOOK INTER/C),10/30/2018,2.75 KM EAST OF EXIT 20,A,TC,HFX,,5310,5320,,,
107040,107,40,1.77,EXIT 19 (PORTERS LAKE INTER/C) TO EXIT 20 (PORTERS LAKE INTER/C),10/30/2018,150 M EAST OF EXIT 19,A,TC,HFX,,7735,7750,,,
104310,104,310,1.21,EXIT 36 (BAYFIELD RD) (HEATHERTON) TO EXIT 36A (AFTON),10/30/2018,0.834 KM EAST OF EXIT 36 (WB) (LOOPS),D,TC,ANT,,4265,4470,W,,
14050,14,50,9.48,RTE 215 (BROOKLYN) TO HWY 101 INTER/C,10/29/2018,1 KM EAST OF SWEETS CORNER,A,TC,HAN,,5973,5980,,,
14045,14,45,4.06,ASHDALE RD (MACKAY SECTION) TO RTE 215 (BROOKLYN),10/29/2018,1 KM EAST OF RTE 215,C,TC,HAN,,2173,2210,,,
14040,14,40,12.05,RTE 202 (RAWDON) TO ASHDALE RD (MACKAY SECTION),10/29/2018,JUST EAST OF WOODVILLE,C,TC,HAN,,1265,1290,,,
14075,14,75,4.36,WINDSOR TOWN LINE TO SANGSTER BRIDGE RD (WINDSOR FORKS),10/29/2018,1 KM EAST OF SANGSTER BRIDGE RD,B,TC,HAN,,2672,2670,,,
14085,14,85,8.98,NEW ROSS RD (VAUGHN) TO HANTS/LUNENBURG COUNTY LINE,10/29/2018,3.5 KM WEST OF MILL RD,B,TC,HAN,,702,700,,,
14060,14,60,0.93,HWY 101 INTER/C TO TK 1 (GARLANDS CROSSING),10/29/2018,0.75 KM WEST OF HWY 101 INTER/C,B,TC,HAN,,5556,5560,,,
14070,14,70,2.21,TK 1 (WINDSOR) TO WINDSOR TOWN LINE,10/29/2018,1.5 KM WEST OF TK 1,B,TC,HAN,,2882,2880,,,
333020,333,20,7.21,GOODWOOD-HALIFAX LINE TO BROOKSIDE RD,10/25/2018,HATCHET LAKE/GOODWOOD LINE (WB),A,VC,HFX,7,5311,5110,W,,
333020,333,20,7.21,GOODWOOD-HALIFAX LINE TO BROOKSIDE RD,10/25/2018,HATCHET LAKE/GOODWOOD LINE (EB),A,VC,HFX,7,5259,5060,E,,
333010,333,10,3.24,TK 3 (ST MARGARET'S BAY RD) TO GOODWOOD-HALIFAX LINE,10/25/2018,0.43 KM WEST OF TK 3 (WB) (LOOPS),A,VC,HFX,15,6496,6250,W,,
333010,333,10,3.24,TK 3 (ST MARGARET'S BAY RD) TO GOODWOOD-HALIFAX LINE,10/25/2018,0.43 KM WEST OF TK 3 (EB) (LOOPS),A,VC,HFX,18,7006,6740,E,,
333040,333,40,8.81,PEGGYS POINT RD TO PAULS POINT RD (HACKETTS COVE),10/25/2018,1 KM WEST OF PEGGYS POINT RD,C,TC,HFX,,869,830,,,
333045,333,45,10.4,PAULS PT RD (HACKETTS COVE) TO INDIAN PT RD (GLEN HAVEN),10/25/2018,0.5 KM WEST OF GAETZ RD,C,TC,HFX,,1841,1760,,,
333035,333,35,8.38,MCGRATHS COVE RD TO PEGGYS POINT RD,10/25/2018,JUST EAST OF WEST DOVER,C,TC,HFX,,806,770,,,
333025,333,25,5.55,BROOKSIDE RD TO PROSPECT RD (SHAD BAY),10/25/2018,JUST EAST OF PROSPECT BAY RD,A,TC,HFX,,4953,4760,,,
333030,333,30,11.58,PROSPECT RD (SHAD BAY) TO MCGRATHS COVE RD,10/25/2018,0.5 KM EAST OF MACDONALDS DR,C,TC,HFX,,1014,970,,,
3040,3,40,7.83,HWY 103 CONNECTOR RD (INGRAMPORT) TO CONRADS ROAD (QUEENSLAND),10/24/2018,0.5 KM WEST OF BRIGLEYS RD,C,TC,HFX,,1960,1870,,,
3030,3,30,10.83,RTE 333 (UPPER TANTALLON) TO HWY 103 CONNECTOR RD (INGRAMPORT),10/24/2018,3 KM WEST OF RTE 333 (TANTALLON),C,TC,HFX,,4342,4150,,,
3020,3,20,8.72,HWY 103 (EXIT 4) TO RTE 333 (UPPER TANTALLON),10/24/2018,1.5 KM WEST OF HWY 103 (SHELDRAKE LAKE),B,TC,HFX,,4888,4660,,,
3045,3,45,3.77,CONRADS RD (QUEENSLAND) TO HALIFAX/LUNENBURG COUNTY LINE,10/24/2018,JUST WEST OF HUBBARDS BEACH RESORT AREA,C,TC,HFX,,1863,1780,,,
213040,213,40,2.24,HWY 103 INTER/C TO TK 3 (UPPER TANTALLON),10/24/2018,1 KM WEST OF HWY 103,B,TC,HFX,,14855,14200,,,
333047,333,47,6.01,INDIAN PT RD (GLEN HAVEN) TO TK 3 (UPPER TANTALLON),10/24/2018,JUST EAST OF TK 3 (UPPER TANTALLON),C,TC,HFX,,7195,6880,,,
103030,103,30,6.86,EXIT 4 (SHELDRAKE LAKE INTER/C) TO EXIT 5 (RTE 213) (TANTALLON),10/24/2018,4.3 KM WEST OF EXIT 4 (WB) (LOOPS),A,TC,HFX,,9725,9350,W,,
103030,103,30,6.86,EXIT 4 (SHELDRAKE LAKE INTER/C) TO EXIT 5 (RTE 213) (TANTALLON),10/24/2018,1.4 KM EAST OF EXIT 5 (EB) (LOOPS),A,TC,HFX,,9426,9060,E,,
7032,7,32,9.66,OLD LAKE ECHO RD TO RTE 207 (PORTERS LAKE),10/23/2018,PORTERS LAKE BRIDGE,A,TC,HFX,,5462,5250,,,
7035,7,35,10.45,RTE 207 (PORTERS LAKE) TO HWY 107 (MUSQUODOBOIT HBR),10/23/2018,0.5 KM EAST OF EAST CHEZZETCOOK RD,A,TC,HFX,,3781,3640,,,
7030,7,30,5.02,HWY 107 (EAST PRESTON) TO MINESVILLE RD,10/23/2018,JUST EAST OF HWY 107,A,TC,HFX,,4056,3900,,,
7031,7,31,2.54,MINESVILLE RD TO OLD LAKE ECHO RD,10/23/2018,0.5 KM EAST OF MINESVILLE RD,A,TC,HFX,,3803,3660,,,
7037,7,37,2.58,HWY 107 (MUSQUODOBOIT HBR) TO RTE 357 (MUSQUODOBOIT HBR),10/23/2018,1 KM EAST OF HWY 107,A,TC,HFX,,7446,7160,,,
7052,7,52,9.11,MURPHY RD (MURPHY'S COVE) TO MOOSELAND RD (MOOSELAND),10/23/2018,0.5 KM EAST OF MURPHY COVE (WB),B,VC,HFX,6,488,470,W,,
7052,7,52,9.11,MURPHY RD (MURPHY'S COVE) TO MOOSELAND RD (MOOSELAND),10/23/2018,0.5 KM EAST OF MURPHY COVE (EB),B,VC,HFX,6,482,460,E,,
7050,7,50,13.01,WEST SHIP HBR RD(SHIP HBR) TO MURPHY RD (MURPHY'S COVE),10/23/2018,2.5 KM EAST OF WEST SHIP HARBOUR RD (EB),B,VC,HFX,5,526,500,E,,
7045,7,45,8.12,CLAM HARBOUR RD (LAKE CHARLOTTE) TO WEST SHIP HARBOUR (SHIP HBR),10/23/2018,2.5 KM EAST OF BEECH HILL RD,B,TC,HFX,,1467,1400,,,
7050,7,50,13.01,WEST SHIP HBR RD(SHIP HBR) TO MURPHY RD (MURPHY'S COVE),10/23/2018,2.5 KM EAST OF WEST SHIP HARBOUR RD (WB),B,VC,HFX,5,538,510,W,,
12045,12,45,1.27,HWY 103 (EXIT 9) TO TK 3 (CHESTER BASIN),10/22/2018,JUST SOUTH OF HWY 103 INTER/C (SB),B,VC,LUN,9,1546,1480,S,,
12045,12,45,1.27,HWY 103 (EXIT 9) TO TK 3 (CHESTER BASIN),10/22/2018,JUST SOUTH OF HWY 103 INTER/C (NB),B,VC,LUN,5,1652,1580,N,,
3050,3,50,10.3,HALIFAX/LUNENBURG COUNTY LINE TO RTE 329 (EAST RIVER),10/22/2018,5 KM WEST OF RTE 329 (HUBBARDS) (EB),D,VC,LUN,4,611,630,E,,
3050,3,50,10.3,HALIFAX/LUNENBURG COUNTY LINE TO RTE 329 (EAST RIVER),10/22/2018,5 KM WEST OF RTE 329 (HUBBARDS) (WB),D,VC,LUN,4,643,660,W,,
14090,14,90,6.81,HANTS/LUNENBURG COUNTY LINE TO SHERWOOD RD (SHERWOOD),10/22/2018,5 KM EAST OF SHERWOOD RD (EB),B,VC,LUN,8,364,350,E,,
103070,103,70,1.84,EXIT 8 (TK 14)(CHESTER) TO START OF DIVIDED HIGHWAY,10/22/2018,(WB) (LOOPS) (SAME AS SECTION 075),B,TC,LUN,,5486,5230,W,,
103075,103,75,2.28,START OF DIVIDED HIGHWAY TO EXIT 9 (TK 12)(CHESTER BASIN),10/22/2018,2.4 KM WEST OF EXIT 8 (WB) (LOOPS),B,TC,LUN,,5486,5230,W,,
103070,103,70,1.84,EXIT 8 (TK 14)(CHESTER) TO START OF DIVIDED HIGHWAY,10/22/2018,(EB) (LOOPS) (SAME AS SECTION 075),B,TC,LUN,,5792,5840,E,,
14090,14,90,6.81,HANTS/LUNENBURG COUNTY LINE TO SHERWOOD RD (SHERWOOD),10/22/2018,5 KM EAST OF SHERWOOD RD (WB),B,VC,LUN,7,359,340,W,,
14093,14,93,10.55,SHERWOOD RD (SHERWOOD) TO CHESTER GRANT RD (WINDSOR RD),10/22/2018,0.25 KM EAST OF CANAAN RD,B,TC,LUN,,1073,1020,,,
104313,104,313,3.1,EXIT 36A (AFTON) TO EXIT 36B (PAQ'TNKEK INTER/C),10/19/2018,1.2 KM EAST OF EXIT 36A (EB) (LOOPS),D,TC,ANT,,4117,3820,E,,
104313,104,313,3.1,EXIT 36A (AFTON) TO EXIT 36B (PAQ'TNKEK INTER/C),10/19/2018,1.2 KM EAST OF EXIT 36A (WB) (LOOPS),D,TC,ANT,,4352,4040,W,,
3110,3,110,1.79,HWY 103 (EXIT 10) TO MAHONE BAY-OAKLAND LINE,10/18/2018,0.5 KM WEST OF OAKLAND LAKE (HWY 103 CONNECTOR),C,TC,LUN,,2689,2413,,,
3123,3,123,7.77,MADERS COVE-MAHONE BAY LINE TO LUNENBURG-DEANS CORNER LINE,10/18/2018,4.5 KM WEST OF MAHONE BAY,C,TC,LUN,,1712,1540,,,
3100,3,100,9.45,WESTERN SHORE-GOLD RIVER LINE TO HWY 103 (EXIT 10),10/18/2018,0.25 KM EAST OF MARTINS POINT RD,C,TC,LUN,,2840,2550,,,
3090,3,90,4.65,TK 12 (CHESTER BASIN) TO WESTERN SHORE-GOLD RIVER LINE,10/18/2018,1 KM WEST OF TK 12 (WB),B,VC,LUN,5,1889,1760,W,,
3090,3,90,4.65,TK 12 (CHESTER BASIN) TO WESTERN SHORE-GOLD RIVER LINE,10/18/2018,1 KM WEST OF TK 12 (EB),B,VC,LUN,5,1878,1750,E,,
14100,14,100,2.96,HWY 103 (EXIT 8) TO TK 3 (ROBINSONS CORNER),10/18/2018,JUST WEST OF HWY 103 INTER/C (EB),C,VC,LUN,7,1643,1470,E,,
332003,332,3,3.83,BLUE ROCKS RD (GARDEN ROCKS) TO TK 3 (DEANS CORNER),10/18/2018,1 KM WEST OF BLUE ROCKS RD (WB),A,VC,LUN,5,897,880,W,,
332003,332,3,3.83,BLUE ROCKS RD (GARDEN ROCKS) TO TK 3 (DEANS CORNER),10/18/2018,1 KM WEST OF BLUE ROCKS RD (EB),A,VC,LUN,5,873,850,E,,
332020,332,20,5,KINGSBURG RD (ROSE BAY) TO FERRY TERMINAL (LAHAVE),10/18/2018,0.25 KM WEST OF INDIAN PATH,C,TC,LUN,,627,560,,,
14100,14,100,2.96,HWY 103 (EXIT 8) TO TK 3 (ROBINSONS CORNER),10/18/2018,JUST WEST OF HWY 103 INTER/C (WB),C,VC,LUN,7,1700,1530,W,,
325050,325,50,1.23,RTE 324 (BLOCKHOUSE) TO MAHONE BAY TOWN LINE,10/18/2018,0.5 KM SOUTH OF RTE 324 (NB),A,VC,LUN,8,1727,1690,N,,
325050,325,50,1.23,RTE 324 (BLOCKHOUSE) TO MAHONE BAY TOWN LINE,10/18/2018,0.5 KM SOUTH OF RTE 324 (SB),A,VC,LUN,7,1939,1890,S,,
3073,3,73,2.55,CHESTER-EAST CHESTER LINE TO STANFORD LAKE RD (CHESTER),10/17/2018,50 M WEST OF QUEEN ST,B,TC,LUN,,5568,5180,,,
329010,329,10,5.46,TK 3 (HUBBARDS) TO MILL COVE RD (MILL COVE),10/17/2018,1.5 KM SOUTH OF TK 3 (HUBBARDS),C,TC,LUN,,2336,2100,,,
3070,3,70,2.26,GRAVES ISLAND RD (EAST CHESTER) TO CHESTER-EAST CHESTER LINE,10/17/2018,0.5 KM EAST OF MAPLEWOOD DR (WB),D,VC,LUN,4,1586,1470,W,,
3060,3,60,5.49,RTE 329 (EAST RIVER) TO GRAVES ISLAND RD (EAST CHESTER),10/17/2018,4 KM WEST OF RTE 329 (EAST RIVER),D,TC,LUN,,3036,2820,,,
3070,3,70,2.26,GRAVES ISLAND RD (EAST CHESTER) TO CHESTER-EAST CHESTER LINE,10/17/2018,0.5 KM EAST OF MAPLEWOOD DR (EB),D,VC,LUN,4,1621,1510,E,,
329015,329,15,6.35,MILL COVE RD (MILL COVE) TO NORTHWEST COVE NORTH LINE,10/17/2018,3.5 KM SOUTH OF MILL COVE RD (NB),D,VC,LUN,3,306,280,N,,
329030,329,30,5.77,NEW HARBOUR RD (BLANDFORD) TO DEEP COVE RD,10/17/2018,3 KM SOUTH OF NEW HARBOUR RD,B,TC,LUN,,796,740,,,
329035,329,35,9.29,DEEP COVE RD TO TK 3 (EAST RIVER),10/17/2018,3 KM SOUTH OF TK 3 (EAST RIVER) (NB),B,VC,LUN,3,461,430,N,,
329035,329,35,9.29,DEEP COVE RD TO TK 3 (EAST RIVER),10/17/2018,3 KM SOUTH OF TK 3 (EAST RIVER) (SB),B,VC,LUN,3,460,430,S,,
329015,329,15,6.35,MILL COVE RD (MILL COVE) TO NORTHWEST COVE NORTH LINE,10/17/2018,3.5 KM SOUTH OF MILL COVE RD (SB),D,VC,LUN,4,309,290,S,,
329020,329,20,8.15,NORTHWEST COVE NORTH LINE TO COTTAGE RD (BAYSWATER),10/17/2018,4 KM SOUTH OF COTTAGE RD,D,TC,LUN,,304,280,,,
329025,329,25,5.2,COTTAGE RD (BAYSWATER) TO NEW HARBOUR RD (BLANDFORD),10/17/2018,1 KM SOUTH OF BACKMAN RD,D,VC,LUN,3,342,320,,,
7010,7,10,0.2,CIVIC 134 TO BEDFORD BYPASS (OVERPASS),10/03/2018,DARTMOUTH RD - 0.22 KM EAST OF EAGLEWOOD DR (WB),AA,TC,HFX,,8052,7880,W,,
103120,103,120,6.64,EXIT 13 (RTE 325)(BRIDGEWATER) TO EXIT 14 (TK 3)(HEBBVILLE),09/24/2018,3.25 KM WEST OF EXIT 13,B,TC,LUN,,6380,5790,,,
103140,103,140,3.86,EXIT 15 (ITALY CROSS INTER/S) TO EXIT 16 (CAMPERDOWN SCHOOL RD),09/24/2018,2 KM WEST OF EXIT 15 (ITALY CROSS INTER/S),B,TC,LUN,,6410,5820,,,
324005,324,5,0.85,HWY 103 INTER/C TO RTE 325 (BLOCKHOUSE),09/24/2018,1 KM NORTH OF RTE 325 (BLOCKHOUSE),B,TC,LUN,,5987,5430,,,
103110,103,110,3.23,EXIT 12 (TK 10)(BRIDGEWATER) TO EXIT 13 (RTE 325)(BRIDGEWATER),09/24/2018,0.75 KM WEST OF TK 10 INTER/C,B,TC,LUN,,10122,9180,,,
3135,3,135,10.82,CENTRE-LUNENBURG LINE TO RTE 332 (UPPER LAHAVE),09/24/2018,3 KM WEST OF RTE 332 (LUNENBURG) (EB),B,VC,LUN,5,1989,1800,E,,
