Year,Municipality,Region,Garbage,Recyclables,Organics,Total Tonnage Generated,Service Units,Garbage/Unit,Recyclables/Unit,Organic/Unit,Total Tonnage/Unit
2014/15,HRM,Region4,"57,818","16,975","35,364","110,157","137,404",420.79,123.54,257.37,801.7
2014/15,"Municipality of Cumberland, Springhill Services",Region3,408.89,255.04,409.15,"1,073.08","1,542",265.17,165.4,265.33999999999997,695.9
2014/15,East Hants,Region3,"3,353.13",994.3,"1,541.55","5,888.98","10,048",333.71,98.96,153.41999999999999,586.08000000000004
2014/15,Cumberland County,Region3,,,,,"6,218",,,,
2014/15,Colchester County,Region3,"4,454.34","2,599.9299999999998","4,855.54","11,909.81","21,686",205.4,119.89,223.9,549.19000000000005
2014/15,CJSMA,Region3,0,0,0,0,0,0,0,0,0
2014/15,Amherst,Region3,739.45,558.95000000000005,"1,215.8900000000001","2,514.29","3,066",241.18,182.31,396.57,820.06
2014/15,St Marys,Region2,495.88,108.8,0,604.67999999999995,"1,071",463.01,101.59,0,564.59
2014/15,Pictou,Region2,"3,991.31","2,370.8200000000002","4,098.45","10,460.58","27,124",147.15,87.41,151.1,385.66
2014/15,Mulgrave,Region2,133.79,33.83,0,167.62,328,407.9,103.14,0,511.04
2014/15,Guysborough,Region2,,,,,"2,607",,,,
2014/15,Canso,Region2,,,,,425,,,,
2014/15,Antigonish Town,Region2,,,,,"2,185",,,,
2014/15,Antigonish County,Region2,"1,682.72",652.28,845.35,"3,180.35","6,131",274.45999999999998,106.39,137.88,518.73
2014/15,Victoria County,Region1,,,,,"3,254",,,,
2014/15,Richmond County,Region1,"1,337.6",616.1,0,"1,953.7","4,144",322.77999999999997,148.66999999999999,0,471.45
2014/15,Port Hawkesbury,Region1,523.75,154.13,0,677.88,"1,174",446.12,131.29,0,577.41
2014/15,Inverness County,Region1,"3,311",490,0,"3,801","6,420",515.73,76.319999999999993,0,592.05999999999995
2014/15,CBRM,Region1,"22,727.4","4,239.63","8,660.5499999999993","35,627.58","44,688",508.58,94.87,193.8,797.25
